Turbine ID,Temperature_Class_One_Week_Before,Average Pressure Score
1.000000,"1. Cold (under 7c)",35.769231
2.000000,"4. Hot  (20c and over)",24.769231
3.000000,"4. Hot  (20c and over)",24.769231
4.000000,"1. Cold (under 7c)",24.923077
5.000000,"1. Cold (under 7c)",18.307692
6.000000,"2. Cool ( 7c - 14c)",29.230769
7.000000,"1. Cold (under 7c)",25.538462
8.000000,"2. Cool ( 7c - 14c)",24.923077
9.000000,"3. (Warm 15c- 19c)",15.846154
10.000000,"3. (Warm 15c- 19c)",37.076923
11.000000,"1. Cold (under 7c)",19.384615
12.000000,"1. Cold (under 7c)",30.153846
13.000000,"1. Cold (under 7c)",30.153846
14.000000,"2. Cool ( 7c - 14c)",17.230769
15.000000,"1. Cold (under 7c)",30.153846
16.000000,"3. (Warm 15c- 19c)",15.846154
17.000000,"2. Cool ( 7c - 14c)",9.846154
18.000000,"3. (Warm 15c- 19c)",15.846154
19.000000,"1. Cold (under 7c)",22.615385
20.000000,"1. Cold (under 7c)",10.846154
21.000000,"1. Cold (under 7c)",16.307692
22.000000,"1. Cold (under 7c)",26.615385
23.000000,"4. Hot  (20c and over)",12.000000
24.000000,"2. Cool ( 7c - 14c)",17.307692
25.000000,"2. Cool ( 7c - 14c)",20.769231
26.000000,"2. Cool ( 7c - 14c)",20.769231
27.000000,"1. Cold (under 7c)",22.076923
28.000000,"1. Cold (under 7c)",10.846154
29.000000,"1. Cold (under 7c)",26.615385
30.000000,"4. Hot  (20c and over)",14.307692
31.000000,"4. Hot  (20c and over)",12.000000
32.000000,"1. Cold (under 7c)",36.307692
33.000000,"3. (Warm 15c- 19c)",23.615385
34.000000,"2. Cool ( 7c - 14c)",20.769231
35.000000,"1. Cold (under 7c)",10.846154
36.000000,"1. Cold (under 7c)",16.307692
37.000000,"3. (Warm 15c- 19c)",23.615385
38.000000,"1. Cold (under 7c)",28.461538
39.000000,"4. Hot  (20c and over)",16.230769
40.000000,"3. (Warm 15c- 19c)",23.615385
41.000000,"1. Cold (under 7c)",36.307692
42.000000,"2. Cool ( 7c - 14c)",15.461538
43.000000,"1. Cold (under 7c)",16.076923
44.000000,"4. Hot  (20c and over)",16.230769
45.000000,"1. Cold (under 7c)",26.615385
46.000000,"3. (Warm 15c- 19c)",23.615385
47.000000,"1. Cold (under 7c)",10.615385
48.000000,"4. Hot  (20c and over)",12.000000
49.000000,"1. Cold (under 7c)",11.153846
50.000000,"1. Cold (under 7c)",16.076923
51.000000,"2. Cool ( 7c - 14c)",20.769231
52.000000,"1. Cold (under 7c)",11.615385
53.000000,"2. Cool ( 7c - 14c)",20.230769
54.000000,"1. Cold (under 7c)",22.076923
55.000000,"4. Hot  (20c and over)",12.000000
56.000000,"4. Hot  (20c and over)",12.000000
57.000000,"2. Cool ( 7c - 14c)",20.230769
58.000000,"1. Cold (under 7c)",16.076923
59.000000,"1. Cold (under 7c)",22.076923
60.000000,"1. Cold (under 7c)",30.153846
61.000000,"4. Hot  (20c and over)",16.000000
62.000000,"3. (Warm 15c- 19c)",27.846154
63.000000,"2. Cool ( 7c - 14c)",26.923077
64.000000,"2. Cool ( 7c - 14c)",28.769231
65.000000,"4. Hot  (20c and over)",23.769231
66.000000,"1. Cold (under 7c)",42.692308
67.000000,"1. Cold (under 7c)",17.384615
68.000000,"1. Cold (under 7c)",42.692308
69.000000,"1. Cold (under 7c)",20.846154
70.000000,"1. Cold (under 7c)",26.307692
71.000000,"1. Cold (under 7c)",29.692308
72.000000,"1. Cold (under 7c)",14.538462
73.000000,"1. Cold (under 7c)",25.076923
74.000000,"1. Cold (under 7c)",35.769231
75.000000,"1. Cold (under 7c)",30.153846
76.000000,"4. Hot  (20c and over)",26.461538
77.000000,"1. Cold (under 7c)",31.461538
78.000000,"1. Cold (under 7c)",37.923077
79.000000,"1. Cold (under 7c)",16.846154
80.000000,"1. Cold (under 7c)",31.461538
81.000000,"1. Cold (under 7c)",37.923077
82.000000,"4. Hot  (20c and over)",23.769231
